,uuid,company,description,categories,location,country,continent,num_of_employees,website,Founded,Funding Rounds,Total Funding in USD,Funding Range,Funding Stage,Number Founders
41,8c493368-609e-4e7c-a607-d8fe73edcb32,HMBradley,HMBradley is a digital banking platform that develops programs to reward savers.,"Banking,Finance,Financial Services,FinTech","Santa Monica,California,United States,North America",United States,North America,11-50,https://waitlist.hmbradley.com/,2019-01-01,2,21750000.0,15-25m,early_stage_venture,3.0
42,a96b0234-9f15-ff88-b9b0-f6bdee59a8e8,Modal,Modal provides digital commerce for auto dealers and brands.,"Automotive,E-Commerce,Mobile,Software","San Francisco,California,United States,North America",United States,North America,11-50,https://modalup.com/,2015-01-01,7,27700000.0,25-35m,early_stage_venture,1.0
43,cdacda7c-d7ae-7076-6108-ea709264c32d,Pockit,Pockit is a financial technology company that provides a digital banking app for the underbanked masses.,"Banking,Finance,Financial Services,FinTech,Personal Finance","London,England,United Kingdom,Europe",United Kingdom,Europe,11-50,http://pockit.com,2012-01-01,7,36503619.0,35-45m,,1.0
44,affdef8d-c9c1-4027-bba1-bd7a92f9f307,Uniswap,Uniswap is a protocol for trading and automated liquidity provision on ethereum.,"Blockchain,Financial Services","Brooklyn,New York,United States,North America",United States,North America,1-10,https://uniswap.org/,2018-01-01,2,11000000.0,5-15m,early_stage_venture,1.0
45,c50ec280-7768-5e5d-1412-ff1c0f8bece2,Carbice Corporation,Carbice is developing a product used to dissipate heat away from product packaging to stop electronic devices from overheating.,"Energy Management,Industrial Design,Industrial Engineering,Semiconductor","Atlanta,Georgia,United States,North America",United States,North America,11-50,http://www.carbice.com/,2017-01-30,2,16500000.0,15-25m,early_stage_venture,1.0
46,1b800f56-77c5-ca23-6ac0-d6f41470cd07,FCC,Federal Communications Commission is an independent United States agency that regulates interstate and international communications.,"Government,Politics,Privacy","Washington,District of Columbia,United States,North America",United States,North America,1001-5000,http://fcc.gov,1934-06-19,1,,,,
47,548a7f1a-59b3-7cf6-279c-d43e7fbb762e,Etsy,Etsy is an e-commerce site and a smartphone application for buying and selling handmade and vintage items.,"E-Commerce,Sales","Brooklyn,New York,United States,North America",United States,North America,1001-5000,https://www.et-sy.com,2005-06-18,9,97256127.0,85-100m,ipo,4.0
48,790684b6-df9a-4d6d-a37d-81891c31aad6,Centivo,Centivo offers a digital health plan aimed at self-funded employers looking to provide employees with quality care they can afford.,"Health Care,Information Technology,Medical","New York,New York,United States,North America",United States,North America,101-250,https://www.centivo.com,2017-01-01,3,70400000.0,65-75m,early_stage_venture,7.0
49,5ce8e046-1331-b30b-c058-b6b1219600a6,IDnow,IDnow is a technology startup that provides advanced machine-learning technology for its Identity Verification-as-a-Service platform.,"Cloud Data Services,Identity Management,Information Technology,Internet,Legal,Machine Learning,Real Time,Security","Munich,Bayern,Germany,Europe",Germany,Europe,101-250,https://www.idnow.io,2014-01-01,6,40000000.0,35-45m,late_stage_venture,4.0
50,ea5170c0-5c33-40cb-8a18-7dd42d8efcd6,Abnormal Security,Abnormal Security is a San Francisco-based email security company that protects enterprises from targeted email attacks.,"Cyber Security,Information Technology,Network Security,Security","San Francisco,California,United States,North America",United States,North America,101-250,https://www.abnormalsecurity.com,2018-04-01,2,74000000.0,65-75m,early_stage_venture,2.0
51,248f4214-eedd-0432-0807-8c186ccca30f,Fitbit,"Fitbit offers compact, wireless, wearable sensors that track a person’s daily activities in order to promote a healthy lifestyle.","Apps,Fitness,Health Care,Personal Health,Wearables","San Francisco,California,United States,North America",United States,North America,251-500,http://www.fitbit.com,2007-05-01,4,66000000.0,65-75m,m_and_a,3.0
52,bfecb54d-aaae-430d-b82a-58dc47ab0777,SkyHive,SkyHive is an artificial intelligence-based SaaS platform that aims to reskill enterprise workforces and communities.,"Artificial Intelligence,Enterprise Software,Human Resources,Machine Learning,Natural Language Processing,Recruiting,SaaS,Software,Training","Vancouver,British Columbia,Canada,North America",Canada,North America,11-50,https://www.skyhive.io,2017-01-01,3,8000000.0,5-15m,early_stage_venture,1.0
53,ab9658f6-8a43-6ead-bfaa-15c04e8da7bb,Fnatic,"Fnatic is a global esports entertainment brand focused on seeking out, leveling up, and amplifying gamers and creators.","eSports,Online Games,PC Games,Video Games","London,England,United Kingdom,Europe",United Kingdom,Europe,51-100,http://fnatic.com,2004-01-01,7,38772064.0,35-45m,,2.0
54,f55c6a9c-fb54-c95c-2712-d29695255ef5,Zeotap,Zeotap is a Customer Intelligence platform that helps brands better understand their customers and predict behaviors.,"Digital Marketing,Marketing,SaaS","Berlin,Berlin,Germany,Europe",Germany,Europe,101-250,http://www.zeotap.com,2014-09-01,5,81200000.0,75-85m,late_stage_venture,3.0
55,ea7dae74-10d7-34fe-04bc-534b03d9c8d1,VSCO,"VSCO is a creative channel that builds creative tools, spaces, and connections driven by self-expression.","Internet,Mobile,Photo Editing,Photography,Software","Oakland,California,United States,North America",United States,North America,101-250,http://www.vsco.co/,2011-03-31,2,90000000.0,85-100m,early_stage_venture,2.0
56,db322722-1636-9a5e-0c0a-bf175ddb7bad,Crunchyroll,Crunchyroll is a video service provider for Japanese animated productions and Asian media services.,"Subscription Service,Video","San Francisco,California,United States,North America",United States,North America,101-250,http://www.crunchyroll.com,2008-01-01,3,26799993.0,25-35m,m_and_a,3.0
57,78e2c18f-2506-d823-e8f1-2292229f8352,Weaveworks,Weaveworks simplifies operating Kubernetes workloads and provides a developer-centric operating model for cloud-native applications.,"Cloud Computing,Developer Tools,Enterprise Software,Software","London,England,United Kingdom,Europe",United Kingdom,Europe,11-50,https://www.weave.works/,2014-01-01,3,56649991.0,55-65m,late_stage_venture,2.0
58,6c3fdb81-9b38-726d-1ed5-f46c563aa5f4,Allianz,"Allianz is an integrated financial services company offering a range of products, services, and solutions in insurance and asset management.","Asset Management,Financial Services,Insurance,Intellectual Property","München,Bayern,Germany,Europe",Germany,Europe,10001+,http://www.allianz.com,1890-01-01,1,85000000.0,75-85m,ipo,2.0
59,3ef3eeae-b93d-2d01-53c2-3511f482e64c,Arcadia,Arcadia is a nationwide home energy platform providing clean energy and savings.,"Clean Energy,Energy,Renewable Energy,Solar","Washington,District of Columbia,United States,North America",United States,North America,101-250,https://www.arcadia.com/,2013-01-01,7,65000000.0,55-65m,late_stage_venture,2.0
60,243753be-4d66-b9c1-df5f-888a187b6a55,Modulr,Modulr is a fintech company that provides Payments as a Service API for digital businesses.,"Banking,Finance,Financial Services,FinTech,Mobile Payments,Payments,Software","London,England,United Kingdom,Europe",United Kingdom,Europe,101-250,https://www.modulrfinance.com/,2015-12-01,5,66673496.0,65-75m,,6.0
61,f7c8e2fb-9712-5afd-d361-89cb88d8276c,Fisdom,Fisdom is a fintech company that offers investment advisory services through an application.,"Advice,Apps,Finance,Financial Services,FinTech","Bangalore,Karnataka,India,Asia",India,Asia,101-250,http://www.fisdom.com/,2015-01-01,6,23450863.0,15-25m,early_stage_venture,3.0
62,10aa857e-f3c8-d0f0-30dd-7cb6fd1c0a0c,Paytm,Paytm is a payment gateway that provides payment services for customers and merchants.,"E-Commerce,Finance,Financial Services,Internet,Mobile Apps,Mobile Payments","Noida,Uttar Pradesh,India,Asia",India,Asia,501-1000,https://paytm.com/,2010-01-01,4,32448851.0,25-35m,,2.0
63,66a8e71a-82a8-5c62-a7af-af7841b66d3d,Stord,Stord provides warehousing services to brands who seek visibility and control over their inventory.,"Freight Service,Logistics,Software,Supply Chain Management,Warehousing","Atlanta,Georgia,United States,North America",United States,North America,51-100,http://www.stord.com,2015-10-01,3,46039990.0,45-55m,early_stage_venture,2.0
64,339fb05b-764a-4100-8cce-34e88258d596,Remote,"Remote offers international payroll, benefits, and compliance services for distributed employees and contractors.","Financial Services,Human Resources,Internet,Payments,Recruiting,Software","San Francisco,California,United States,North America",United States,North America,101-250,https://www.remote.com,2019-01-25,2,46000000.0,45-55m,early_stage_venture,2.0
65,6dcc4b91-def4-9821-af6d-3f2c70cccf90,ControlUp,"ControlUp is an IT virtual infrastructure monitoring, management and troubleshooting solution.","Analytics,Enterprise Software,SaaS,Software","San Jose,California,United States,North America",United States,North America,51-100,http://www.controlup.com,2012-01-01,3,40200000.0,35-45m,late_stage_venture,2.0
66,316de303-3b61-f6b7-2971-cf03f293bd7c,Bitso,Bitso is a cryptocurrency exchange platform that allows users to buy and sell bitcoin and other cryptocurrencies.,"Bitcoin,Cryptocurrency,Finance,Financial Exchanges,Financial Services,FinTech","Mexico City,Distrito Federal,Mexico,North America",Mexico,North America,101-250,https://bitso.com,2014-01-04,7,66350000.0,65-75m,early_stage_venture,3.0
67,32ac8452-e473-9876-45cb-a5a41392a5b5,goHenry,"goHenry helps young people learn how to earn, save and spend responsibly.","Financial Exchanges,Financial Services,FinTech","Lymington,Hampshire,United Kingdom,Europe",United Kingdom,Europe,101-250,https://www.gohenry.com,2012-01-01,5,56172980.0,55-65m,,2.0
68,7ccd15e2-d6f3-0c36-7561-8d597786701f,Triller,"Triller is an AI-powered music video app that enables anyone to make professional videos, effortlessly. ","Digital Media,Music,Social Network,Software","New York,New York,United States,North America",United States,North America,11-50,http://www.triller.co/,2015-01-01,4,37500000.0,35-45m,early_stage_venture,2.0
69,4048e246-43f2-ec88-a6a1-88095304b0bf,Getsafe,Getsafe is a digital-first insurance startup offering a platform of data-driven insurance products that users can subscribe to.,"Artificial Intelligence,Insurance,InsurTech,Machine Learning,Mobile Apps","Heidelberg,Baden-Wurttemberg,Germany,Europe",Germany,Europe,51-100,http://www.hellogetsafe.com,2015-03-05,4,52890000.0,45-55m,early_stage_venture,2.0
70,3e8ddad8-d168-3a24-ae9c-1ab0412a8f0e,Ada,Ada is a computer software company that features a chatbot-based platform that helps enterprise businesses to automate customer experience.,"Artificial Intelligence,Information Technology,Intelligent Systems,Machine Learning,SaaS,Software","Toronto,Ontario,Canada,North America",Canada,North America,101-250,https://ada.support,2014-01-01,6,60620619.0,55-65m,early_stage_venture,2.0
71,767b35ea-299e-46fc-8bc6-a7b6b477bdb6,Chainlink,Chainlink provides reliable tamper-proof inputs and outputs for complex smart contracts on any blockchain.,"Blockchain,Information Technology,Internet,Security,Software","Grand Cayman,Midland,Cayman Islands,North America",Cayman Islands,North America,1-10,https://chain.link/,2014-01-01,1,32000000.0,25-35m,,1.0
72,996774ab-d648-9481-0b2a-14a424d2571e,WorkRamp,WorkRamp is an enterprise learning platform that helps organizations build their own training materials.,"Corporate Training,E-Learning,SaaS,Software","San Francisco,California,United States,North America",United States,North America,11-50,https://www.workramp.com,2015-01-01,4,27200000.0,25-35m,early_stage_venture,4.0
73,7155c895-e0a5-fae0-1344-d1474b8bff8d,Upserve,Upserve is the smart management assistant that puts everything restaurateurs need to know in one place.,"Hospitality,Information Technology,Restaurants,SaaS,Service Industry,Software","Providence,Rhode Island,United States,North America",United States,North America,101-250,http://upserve.com,2009-10-01,6,40500000.0,35-45m,m_and_a,1.0
74,5316ff2d-9cb1-d26e-bfb5-6932f3a763b6,HODINKEE,HODINKEE designs watches and is a media and retail platform providing a point of view on industry news and releases.,"Content,E-Commerce,Information Services,Internet,News,Publishing","New York,New York,United States,North America",United States,North America,51-100,http://www.hodinkee.com,2008-01-01,4,40000000.0,35-45m,early_stage_venture,1.0
75,c501503c-1f10-ea66-60ed-1decc8da1cf5,Cambridge Quantum Computing,CQCL develops tools for the commercialisation of quantum computers by understanding quantum protocols and also quantum algorithms.,"Artificial Intelligence,Computer,Enterprise Software,Quantum Computing","Cambridge,Cambridgeshire,United Kingdom,Europe",United Kingdom,Europe,101-250,http://cambridgequantum.com/,2014-01-01,6,67800000.0,65-75m,,1.0
76,e7eb6e24-4a9b-9746-a34e-b96e48e12323,Tinder,Tinder anonymously finds people nearby that like each other and connects them if they are both interested.,"Dating,Mobile,Search Engine,Social Media","West Hollywood,California,United States,North America",United States,North America,51-100,http://www.tinder.com,2012-09-01,3,,,,6.0
77,0d5171b3-68b3-37c3-cb50-8cd8ccb8930b,Accenture,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.","Construction,Consulting,Information Technology,Outsourcing","Dublin,Dublin,Ireland,Europe",Ireland,Europe,10001+,http://www.accenture.com,1989-01-01,1,,,ipo,2.0
78,600b80ee-a8ae-4449-9c7a-ede37a135607,Signzy,"Signzy is an AI-powered fintech company offering a digital onboarding solution for banks, NBFCs, and other financial institutions.","Finance,Financial Services,FinTech,Risk Management,Software","Bangalore,Karnataka,India,Asia",India,Asia,101-250,https://signzy.com,2015-01-01,5,12600000.0,5-15m,,3.0
79,5c2607be-e545-0ce5-b91e-6796b5beeb8d,LLamasoft,LLamasoft is a supply-chain planning company that elevates lives and organizations through the science of smarter decision-making.,"Logistics,Predictive Analytics,Software,Supply Chain Management","Ann Arbor,Michigan,United States,North America",United States,North America,501-1000,http://www.llamasoft.com,2002-01-01,3,56100000.0,55-65m,m_and_a,2.0
80,8a450ffa-497f-7d09-0992-dc9cb62345cd,Bestow,Bestow is an insurance technology company offering a platform to make life insurance more accessible to families.,"Financial Services,FinTech,Insurance,InsurTech,Life Insurance,Software","Dallas,Texas,United States,North America",United States,North America,101-250,https://www.bestow.com,2016-01-01,3,67500000.0,65-75m,early_stage_venture,2.0
81,0cd6298b-c87e-4f8d-95c1-a50b8dbd0376,PayBright,PayBright is a FinTech company.,Financial Services,"Toronto,Ontario,Canada,North America",Canada,North America,101-250,https://paybright.com/,2009-01-01,2,60000000.0,55-65m,m_and_a,1.0
82,a495842f-172c-d5d6-6d63-47c61d189420,Birchbox,Birchbox is a New York-based online subscription service that specializes in makeup and other beauty related products.,"Beauty,E-Commerce,E-Commerce Platforms,Internet","New York,New York,United States,North America",United States,North America,251-500,http://www.birchbox.com,2010-01-01,7,97170831.0,85-100m,m_and_a,2.0
83,890cb05d-a8db-9cf1-d784-af4a62a4381a,Ideanomics,Ideanomics is a global company focused on the convergence of financial services and industries experiencing technological disruption.,"AgTech,Blockchain,Digital Marketing,Electric Vehicle,FinTech,Information Technology,Marketing Automation,Payments,Real Estate","New York,New York,United States,North America",United States,North America,51-100,http://www.ideanomics.com/,2004-01-01,5,70200000.0,65-75m,ipo,2.0
